id;type;mission;name;organisation;city;bundesland;lat;lng;link;keywords;foerderung_eur;thumbnail_path;video_type;video_id;video_pin_order
101058427;point;cancer;EOSC4Cancer;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058427;;580500;;;;
101157265;point;soil;SPIN-FERT;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101157265;;5684375;;;;
101046133;point;cancer;ISIDORe;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101046133;;54608274;;;;
817946;point;soil;EXCALIBUR;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/817946;;543330;;;;
101131701;point;waters;EvolveBBMRI;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101131701;;268317875;;;;
101058537;point;climate;INSPIRE;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058537;;505775;;;;
101136775;point;climate;INITIATE;EUROPEAN SUSTAINABLE ENERGY INNOVATION ALLIANCE - ESEIA | VEREIN FUR FORDERUNG DER EUROPAIESCHEN INNOVATION FUR ERNEUERBARE ENERGIEN;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101136775;;4956875;;;;
101120657;point;climate;ENFIELD;KNOW CENTER RESEARCH GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101120657;;495625;;;;
101058432;point;climate;EOSC Focus;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058432;;48122625;;;;
101058142;point;waters;PureSurf;UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058142;;247599875;;;;
101060554;point;climate;OptFor-EU;UNIVERSITAET FUER BODENKULTUR WIEN;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101060554;;44254625;;;;
101138530;point;waters;ZEAS;HYCENTA RESEARCH GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101138530;;1511125;;;;
101057739;point;climate;TRIGGER;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101057739;;4167125;;;;
101200188;point;soil;WinMicAct;UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101200188;;3750725;;;;
101177924;point;cancer;INJECTHEAL;AKRIBES BIOMEDICAL GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101177924;;3721237571;;;;
101057014;point;waters;PARC;AGES - OSTERREICHISCHE AGENTUR FUR GESUNDHEIT UND ERNAHRUNGSSICHERHEIT GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101057014;;10664125;;;;
101075596;point;cities;Every1;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101075596;;357125;;;;
101132356;point;cancer;PREDICTOM;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101132356;;35354125;;;;
101094353;point;waters;MICROBE;AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101094353;;101384675;;;;
101016775;point;cancer;INTERVENE;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101016775;;349975;;;;
101138466;point;waters;APOLO;LEC GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101138466;;988305;;;;
101214666;point;climate;JustREACH;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101214666;;3430625;;;;
101178798;point;climate;United Circles;STENUM UNTERNEHMENSBERATUNG UND FORSCHUNGSGESELLSCHAFT FUR UMWELTFRAGEN MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101178798;;3410625;;;;
101058245;point;climate;IRISS;BIONANONET FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058245;;3359525;;;;
101058111;point;cancer;GLUMON;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058111;;320875;;;;
101214125;point;cancer;EU-CIP;AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101214125;;32025875;;;;
101160061;point;cancer;ZAP Cancer;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101160061;;31964314;;;;
